iter	MAPE
0	0.3755204769
1	0.3663253482
2	0.3436716575
3	0.3262968336
4	0.3158024957
5	0.3021928758
6	0.2905239192
7	0.2853667116
8	0.2802721391
9	0.2701521277
10	0.2629168659
11	0.25426673
12	0.2450416039
13	0.2388032857
14	0.232744936
15	0.2269302197
16	0.2233306362
17	0.2224953056
18	0.2214268398
19	0.2135038666
20	0.2126105027
21	0.2086118144
22	0.2042899899
23	0.1996092241
24	0.196580229
25	0.1956679111
26	0.1907764215
27	0.188394025
28	0.1823293347
29	0.1787839768
30	0.1752995446
31	0.1713949607
32	0.1691852633
33	0.1658662342
34	0.1619070009
35	0.1591271789
36	0.1566845191
37	0.15328151
38	0.1523817274
39	0.1487732911
40	0.1454869997
41	0.144526928
42	0.1415860928
43	0.1407339881
44	0.1391331154
45	0.1378327501
46	0.1350932678
47	0.1331965949
48	0.1302757991
49	0.1282380125
50	0.1259170153
51	0.124679984
52	0.1224245689
53	0.1208408742
54	0.1182481731
55	0.1170904538
56	0.1150900291
57	0.1136253455
58	0.1119915567
59	0.110245356
60	0.1079018582
61	0.1074897744
62	0.1067202878
63	0.1060907793
64	0.1048380926
65	0.1034116224
66	0.1019294876
67	0.1003361138
68	0.09901175205
69	0.09804947655
70	0.09614602076
71	0.09385052786
72	0.09096312338
73	0.08883518892
74	0.08747670859
75	0.0860159056
76	0.08495392603
77	0.08436726748
78	0.08244148973
79	0.08090162175
80	0.07924175469
81	0.07867320227
82	0.07805600095
83	0.0770884435
84	0.07557484926
85	0.07464958493
86	0.07369276605
87	0.07237608012
88	0.07126676046
89	0.07027682057
90	0.06962511022
91	0.06875785713
92	0.06834133973
93	0.06773009687
94	0.06729242009
95	0.06654316625
96	0.06559986627
97	0.06509009714
98	0.06412664305
99	0.06310985371
100	0.06279362301
101	0.06192552022
102	0.06103521071
103	0.05968573752
104	0.05936132722
105	0.05902200846
106	0.05827315551
107	0.05787465846
108	0.05750761064
109	0.05695313758
110	0.05618777944
111	0.05568231384
112	0.05537697091
113	0.05460725484
114	0.05411328919
115	0.05378758121
116	0.05319797808
117	0.05295612592
118	0.05244633262
119	0.05205850566
120	0.05168433147
121	0.05133564565
122	0.0509448098
123	0.05068301781
124	0.05026615918
125	0.04978776442
126	0.04960241728
127	0.04922416676
128	0.04888905063
129	0.04852362778
130	0.04792418841
131	0.04781105305
132	0.04774204472
133	0.04740414623
134	0.04678350184
135	0.0465673873
136	0.0461801445
137	0.0459899547
138	0.04581652749
139	0.04530046109
140	0.04495324093
141	0.04474590516
142	0.0444346643
143	0.04417459173
144	0.04401447824
145	0.04372422174
146	0.04351664044
147	0.0434280668
148	0.04312155442
149	0.04263934349
150	0.04234811671
151	0.04218607775
152	0.04196096762
153	0.0417630599
154	0.04154447983
155	0.04127606374
156	0.04084187206
157	0.04053309679
158	0.04034786637
159	0.04021465447
160	0.04000805991
161	0.03987784476
162	0.03972369952
163	0.03964333394
164	0.03910244489
165	0.0389168216
166	0.03861116104
167	0.03845860079
168	0.03822663005
169	0.03811261768
170	0.03791237038
171	0.03748677795
172	0.03733560756
173	0.03719249527
174	0.03705701714
175	0.03698611539
176	0.03688808891
177	0.03680537844
178	0.03663231654
179	0.03651648482
180	0.03638713975
181	0.03629497429
182	0.03622324821
183	0.03613833903
184	0.03590844508
185	0.03582015013
186	0.03579620995
187	0.03573343298
188	0.03563367318
189	0.03545905248
190	0.03537772119
191	0.03525912523
192	0.03511113726
193	0.0350490227
194	0.03482783867
195	0.03476375064
196	0.03466613851
197	0.03458068636
198	0.03454005575
199	0.03440816972
200	0.03425716362
201	0.03417804125
202	0.0340764345
203	0.03397989685
204	0.03386443065
205	0.03382010597
206	0.03375485328
207	0.03372035021
208	0.0336370126
209	0.03361549045
210	0.03359017692
211	0.03353231364
212	0.03331918885
213	0.03328841481
214	0.03325872352
215	0.03315480438
216	0.03307258485
217	0.03297155923
218	0.0329125252
219	0.03288470058
220	0.03283205016
221	0.03262411219
222	0.03257285173
223	0.03251059907
224	0.03239446099
225	0.03233501761
226	0.03230461869
227	0.03226919913
228	0.03210242577
229	0.03201812085
230	0.03182717194
231	0.03178767271
232	0.0316687296
233	0.03154088882
234	0.03152385806
